Target ChEMBL ID,Molecule ChEMBL ID,Smiles,Type_MPG,min,max,mean,std
CHEMBL1075104,CHEMBL3651732,c1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)cc(N2CCOCC2)n1,CELL,6.87,7.57,7.220000000000001,0.49497474683058307
CHEMBL1075104,CHEMBL3651804,CC(C)c1nc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)n[nH]1,CELL,7.46,8.11,7.785,0.4596194077712552
CHEMBL1075104,CHEMBL3651817,Cc1[nH]nc2ccnc(NC3CCOCC3)c12,CELL,6.37,6.74,6.555,0.261629509039023
CHEMBL1075104,CHEMBL3919862,Cc1cc(-c2cc(Nc3nn(C)cc3C)nc3[nH]cc(C#N)c23)ccn1,CELL,6.24,6.68,6.46,0.31112698372208053
CHEMBL1075104,CHEMBL3933899,Cc1cncc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)c1,CELL,7.05,7.16,7.105,0.07778174593052013
CHEMBL1075104,CHEMBL3939513,Cn1ccc(Nc2cc(-c3ccccc3)c3c(C#N)c[nH]c3n2)n1,CELL,7.0,7.07,7.035,0.049497474683058526
CHEMBL1075104,CHEMBL3961481,Cc1cccc(-c2cc(Nc3nn(C)cc3C)nc3[nH]cc(C#N)c23)n1,CELL,6.77,6.89,6.83,0.08485281374238547
CHEMBL1075104,CHEMBL3961632,Cc1cccc(-c2cc(N)nc3[nH]cc(C#N)c23)c1,CELL,6.33,7.62,7.147500000000001,0.4167433262812977
CHEMBL1075104,CHEMBL3969077,Cc1cccc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)c1,CELL,7.75,7.77,7.76,0.014142135623730649
CHEMBL1075104,CHEMBL3971067,CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1,CELL,5.68,6.04,5.859999999999999,0.25455844122715704
CHEMBL1075104,CHEMBL4063115,Cc1cc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)ccn1,CELL,6.16,6.89,6.525,0.5161879502661797
CHEMBL1075104,CHEMBL4077034,Cc1cc(-c2cc(Nc3nn(C)cc3Cl)nc3[nH]cc(C#N)c23)ccn1,CELL,5.89,6.68,6.285,0.5586143571373728
CHEMBL1075104,CHEMBL4084769,Cc1cccc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)n1,CELL,6.8,7.12,6.96,0.2262741699796954
CHEMBL1075104,CHEMBL4092521,Cc1cccc(-c2cc(Nc3nn(C)cc3Cl)nc3[nH]cc(C#N)c23)n1,CELL,6.96,7.03,6.995,0.049497474683058526
CHEMBL1075104,CHEMBL4100265,Cc1cncc(-c2cc(Nc3nn(C)cc3Cl)nc3[nH]cc(C#N)c23)c1,CELL,6.72,7.03,6.875,0.2192031021678301
CHEMBL1075104,CHEMBL4101218,Cc1cncc(-c2cc(Nc3nn(C)cc3C)nc3[nH]cc(C#N)c23)c1,CELL,6.77,6.8,6.785,0.021213203435596288
CHEMBL1075104,CHEMBL4435096,c1ccc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nc1,CELL,7.39,8.51,7.949999999999999,0.7919595949289336
CHEMBL1075104,CHEMBL4460272,c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc(N2CCOCC2)n1,CELL,7.62,8.38,8.0,0.5374011537017769
CHEMBL1075104,CHEMBL4527314,FC(F)(F)c1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)ncn1,CELL,7.62,8.39,8.005,0.5444722215136416
CHEMBL1075104,CHEMBL4539170,CCc1cc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)nn1C,CELL,8.35,9.3,8.825,0.6717514421272215
CHEMBL1075104,CHEMBL4542888,Cc1n[nH]c2ccnc(OC3CCOCC3)c12,CELL,6.52,7.36,6.9399999999999995,0.5939696961967008
CHEMBL1075104,CHEMBL4592487,CC(C)(O)Cn1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cn1,CELL,7.68,7.89,7.785,0.14849242404917526
CHEMBL1075104,CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,CELL,7.03,8.21,7.783333333333334,0.6543189843901313
CHEMBL1075225,CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CELL,5.28,5.74,5.51,0.32526911934581215
CHEMBL1075225,CHEMBL4442778,C=CC(=O)N1CCCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4454392,C=CC(=O)N1CCCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4460560,C=CC(=O)N1CCCC(n2nc(-c3cc(N4CCOCC4)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4517080,C=CC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4557416,C=CC(=O)N1CCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4561431,C=CC(=O)N1CCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4564903,C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075225,CHEMBL4582632,C=CC(=O)N1CCCC(n2nc(Br)c3c(N)ncnc32)C1,CELL,6.2,6.24,6.220000000000001,0.02828427124746224
CHEMBL1075275,CHEMBL259084,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,CELL,6.76,6.76,6.760000000000001,0.0
CHEMBL1075289,CHEMBL570380,COc1cc2nccc(Oc3ccc(NC(=O)c4cc(-c5cccs5)cn(-c5ccccc5)c4=O)nc3)c2cc1OC,CELL,8.0,8.0,8.0,0.0
CHEMBL1075289,CHEMBL585927,CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1,CELL,8.0,8.0,8.0,0.0
CHEMBL1075321,CHEMBL405759,Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,CELL,6.0,7.52,6.484,0.6980544391378083
CHEMBL1169596,CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,CELL,5.95,6.02,5.984999999999999,0.04949747468305758
CHEMBL1293199,CHEMBL4435359,Cc1ncc(-c2cc(F)c(O)c(F)c2)cc1-c1cc(F)c(O)c(F)c1,CELL,6.72,6.82,6.77,0.07071067811865545
CHEMBL1824,CHEMBL103005,Cc1cc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,CELL,6.55,7.82,7.1850000000000005,0.8980256121069153
CHEMBL1824,CHEMBL203599,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,CELL,9.0,9.1,9.05,0.07071067811865388
CHEMBL1824,CHEMBL2110732,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,CELL,7.34,7.34,7.34,0.0
CHEMBL1824,CHEMBL227103,COCCOc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2cc1OCCOC,CELL,6.28,6.58,6.43,0.2121320343559638
CHEMBL1824,CHEMBL228275,COCCOc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCC5)CC4)c(C)c3)c2c1,CELL,7.36,7.54,7.45,0.12727922061357835
CHEMBL1824,CHEMBL228276,Cc1cc(Nc2ncnc3cnc(N4CCOCC4)cc23)ccc1OC1CCN(C(=O)C2CCCC2)CC1,CELL,7.48,7.75,7.615,0.19091883092036754
CHEMBL1824,CHEMBL228925,CNc1cc2c(Nc3ccc(Oc4ccc(C(=O)NCC(C)(C)C)cc4)c(C)c3)ncnc2cn1,CELL,7.52,7.89,7.705,0.2616295090390223
CHEMBL1824,CHEMBL228977,Cc1cc(Nc2ncnc3cnc(N4CCN(C)CC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,CELL,6.89,7.82,7.355,0.6576093065034894
CHEMBL1824,CHEMBL229037,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4ccc(C(=O)NCC(C)(C)C)cc4)c(C)c3)c2c1,CELL,6.85,7.64,7.244999999999999,0.5586143571373728
CHEMBL1824,CHEMBL230255,Cc1cc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)ccc1OC1CCN(C(=O)CC(C)(C)C)CC1,CELL,7.12,7.47,7.295,0.24748737341529137
CHEMBL1824,CHEMBL230574,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCC5)CC4)c(C)c3)c2c1,CELL,6.82,7.29,7.055,0.3323401871576775
CHEMBL1824,CHEMBL230575,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2c1,CELL,7.03,7.8,7.415,0.5444722215136413
CHEMBL1824,CHEMBL230680,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCO5)CC4)c(C)c3)c2c1,CELL,5.54,6.26,5.9,0.5091168824543144
CHEMBL1824,CHEMBL230786,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4cccc(C(=O)NC5CCC5)c4)c(C)c3)c2c1,CELL,6.64,6.8,6.72,0.1131370849898477
CHEMBL1824,CHEMBL230891,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4cccc(C(=O)NC(C)(C)C)c4)c(C)c3)c2c1,CELL,7.52,7.75,7.635,0.16263455967290624
CHEMBL1824,CHEMBL230994,COc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2cc1OC,CELL,7.0,7.12,7.0600000000000005,0.08485281374238547
CHEMBL1824,CHEMBL231099,COCCOc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2cc1OCCOC,CELL,6.08,6.64,6.359999999999999,0.395979797464466
CHEMBL1824,CHEMBL231101,COc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2cc1OC,CELL,7.17,7.72,7.445,0.3889087296526013
CHEMBL1824,CHEMBL231102,Cc1cc(Nc2ncnc3cnc(N4CCOCC4)cc23)ccc1OC1CCN(C(=O)Nc2c(F)cccc2F)CC1,CELL,7.8,8.15,7.975,0.2474873734152917
CHEMBL1824,CHEMBL231103,COCCOc1cc2ncnc(Nc3ccc(OC4CCN(C(=O)C5CCCC5)CC4)c(C)c3)c2cc1OCCOC,CELL,6.28,7.11,6.695,0.5868986283848344
CHEMBL1824,CHEMBL231204,COc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2c1,CELL,6.6,7.34,6.97,0.5232590180780453
CHEMBL1824,CHEMBL231205,COCCOc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2c1,CELL,7.48,7.57,7.525,0.06363961030678918
CHEMBL1824,CHEMBL231302,CNc1cc2c(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)ncnc2cn1,CELL,6.75,7.6,7.175,0.6010407640085651
CHEMBL1824,CHEMBL246284,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,CELL,7.26,7.26,7.26,0.0
CHEMBL1824,CHEMBL246493,Fc1cccc(COc2ccc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)cc2Cl)c1,CELL,6.25,6.25,6.25,0.0
CHEMBL1824,CHEMBL256362,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,CELL,7.64,7.64,7.64,0.0
